IDs,Video,Resolution
NDARAH976BND,/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-WK_Samples_ET.mat,1440900
NDARAJ366ZFA,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ366ZFA/NDARAJ366ZFA_Video1_Samples_ET.mat,800600
NDARAJ366ZFA,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ366ZFA/NDARAJ366ZFA_Video3_Samples_ET.mat,800600
NDARAJ689BVN,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video1_Samples_ET.mat,800600
NDARAJ689BVN,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video2_Samples_ET.mat,800600
NDARAJ689BVN,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video3_Samples_ET.mat,800600
NDARAJ689BVN,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video4_Samples_ET.mat,800600
NDARAJ768CF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-DM_Samples_ET.mat,800600
NDARAJ768CF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-FF_Samples_ET.mat,800600
NDARAJ768CF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-TP_Samples_ET.mat,800600
NDARAJ768CF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-WK_Samples_ET.mat,800600
NDARAJ807UYR,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ807UYR/NDARAJ807UYR_Video1_Samples_ET.mat,800600
NDARAJ807UYR,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ807UYR/NDARAJ807UYR_Video3_Samples_ET.mat,800600
NDARAJ977PRJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-DM_Samples_ET.mat,1440900
NDARAJ977PRJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-TP_Samples_ET.mat,1440900
NDARAJ977PRJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-WK_Samples_ET.mat,1440900
NDARAK187ZLP,/Volumes/methlab_data/HBN/EEG-ET/NDARAK187ZLP/NDARAK187ZLP_Video3_Samples_ET.mat,800600
NDARAK653RYE,/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video1_Samples_ET.mat,800600
NDARAK653RYE,/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video2_Samples_ET.mat,800600
NDARAK653RYE,/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video3_Samples_ET.mat,800600
NDARAK738BGC,/Volumes/methlab_data/HBN/EEG-ET/NDARAK738BGC/NDARAK738BGC_Video1_Samples_ET.mat,800600
NDARAK738BGC,/Volumes/methlab_data/HBN/EEG-ET/NDARAK738BGC/NDARAK738BGC_Video2_Samples_ET.mat,800600
NDARAK738BGC,/Volumes/methlab_data/HBN/EEG-ET/NDARAK738BGC/NDARAK738BGC_Video3_Samples_ET.mat,800600
NDARAK738BGC,/Volumes/methlab_data/HBN/EEG-ET/NDARAK738BGC/NDARAK738BGC_Video4_Samples_ET.mat,800600
NDARAL828WXM,/Volumes/methlab_data/HBN/EEG-ET/NDARAL828WXM/NDARAL828WXM_Video-DM_Samples_ET.mat,800600
NDARAL828WXM,/Volumes/methlab_data/HBN/EEG-ET/NDARAL828WXM/NDARAL828WXM_Video-FF_Samples_ET.mat,800600
NDARAL828WXM,/Volumes/methlab_data/HBN/EEG-ET/NDARAL828WXM/NDARAL828WXM_Video-TP_Samples_ET.mat,800600
NDARAL828WXM,/Volumes/methlab_data/HBN/EEG-ET/NDARAL828WXM/NDARAL828WXM_Video-WK_Samples_ET.mat,800600
NDARAL897CYV,/Volumes/methlab_data/HBN/EEG-ET/NDARAL897CYV/NDARAL897CYV_Video-DM_Samples_ET.mat,1440900
NDARAL897CYV,/Volumes/methlab_data/HBN/EEG-ET/NDARAL897CYV/NDARAL897CYV_Video-TP_Samples_ET.mat,1440900
