Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1150,00:00:47.917,0.4399323640046296,0.2713216145833333,0.4984537760416667,0.5500217013888888
1151,00:00:47.958,0.4473650896990741,0.273193359375,0.5334743923611112,0.5354275173611112
1152,00:00:48.000,0.6090494791666666,0.4228244357638889,0.7199978298611112,0.684326171875
1153,00:00:48.042,0.5802770543981483,0.4170193142361111,0.6912434895833334,0.632568359375
1154,00:00:48.083,0.6258318865740741,0.4639485677083333,0.7382269965277778,0.6753200954861112
1155,00:00:48.125,0.5654748987268519,0.3670247395833333,0.69580078125,0.6335991753472222
1156,00:00:48.167,0.5478696469907408,0.3473578559027778,0.6556260850694444,0.640625
1157,00:00:48.208,0.5124602141203703,0.2898491753472222,0.6143934461805556,0.6331380208333334
1158,00:00:48.250,0.5274160879629629,0.306884765625,0.6039225260416666,0.6714409722222222
1159,00:00:48.292,0.516628689236111,0.3087565104166667,0.591796875,0.6493326822916666
1160,00:00:48.333,0.4356915509259259,0.22591145833333334,0.5083550347222222,0.5728081597222222
1161,00:00:48.375,0.5006148726851852,0.3131510416666667,0.560302734375,0.6283908420138888
1162,00:00:48.417,0.39847366898148145,0.2245551215277778,0.4750162760416667,0.495849609375
1163,00:00:48.458,0.4224808304398148,0.2549370659722222,0.4784613715277778,0.5340440538194444
1164,00:00:48.500,0.39010959201388884,0.2048068576388889,0.4622395833333333,0.5032823350694444
1165,00:00:48.542,0.41325774016203703,0.2363009982638889,0.4691297743055556,0.5343424479166666
1166,00:00:48.583,0.3802445023148148,0.2269965277777778,0.422607421875,0.4911295572916667
1167,00:00:48.625,0.604248046875,0.3839518229166667,0.6405164930555556,0.7882758246527778
1168,00:00:48.667,1.0294505931712963,0.5880805121527778,1.1754828559027777,1.3247884114583333
1169,00:00:48.708,1.2415635850694444,0.5579969618055556,1.538818359375,1.6278754340277777
1170,00:00:48.750,2.307490596064815,1.5673014322916667,2.544949001736111,2.8102213541666665
1171,00:00:48.792,1.950493706597222,0.9816080729166666,2.3675944010416665,2.5022786458333335
1172,00:00:48.833,1.8435510706018519,0.8399251302083334,2.2863226996527777,2.4044053819444446
